bj,Buddhajayantītripiṭakagranthamālā 2501-2531,Sinhala
s1,Chulachomklao Tipiṭaka 2436,Siam
c1,Chaṭṭhasaṅgīti Piṭakaṃ 2496-2499,Burmese
c2,Chatthasaṅgīti Tipiṭaka 2500-2506,Burmese
dy,Dayyaraṭṭhassa Saṅgītitepiṭakaṃ 2530,Thai
km,Phratraipiṭakapāḷi 2501-2512,Khmer (Mūla)
lv,Lāvaraṭṭhassa 2500,Laotian
mc,Mahācūḷātepiṭakaṃ 2503-2533,Thai
mk,Mahāmakurājāvidyālai 2466,Thai
nd,Nālandā-Devanāgarī-Pāḷi-Series 2500-2505,Devanāgarī
pts1,Pali Text Society (1st ed.) 2424-2535,Roman
pts2,Pali Text Society (2nd ed.) 2517-2541,Roman
s3,Syāmaraṭṭhassa Tepiṭakaṃ 2538,Thai
vp,Vipassanā Research Institute 2537-2542,Devanāgarī
